Rank,Title,Avg. Imdb Rating,List of Lists Score
1,The Godfather,9.2,6
2,The Godfather: Part II,9,6
3,Psycho,8.5,6
4,Apocalypse Now,8.5,6
5,Citizen Kane,8.4,6
6,Some Like It Hot,8.3,6
7,The Searchers,8,6
8,Pulp Fiction,8.9,5
9,Star Wars: Episode IV - A New Hope,8.7,5
10,Goodfellas,8.7,5
11,Casablanca,8.6,5
12,Raiders of the Lost Ark,8.5,5
13,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.5,5
14,Vertigo,8.4,5
15,North by Northwest,8.4,5
16,Double Indemnity,8.4,5
17,The Apartment,8.3,5
18,Taxi Driver,8.3,5
19,Singin' in the Rain,8.3,5
20,Gone with the Wind,8.2,5
21,Chinatown,8.2,5
22,The Wizard of Oz,8.1,5
23,Butch Cassidy and the Sundance Kid,8.1,5
24,Annie Hall,8.1,5
25,The Wild Bunch,8,5
26,The Graduate,8,5
27,E.T. the Extra-Terrestrial,7.9,5
28,Schindler's List,8.9,4
29,Forrest Gump,8.8,4
30,One Flew Over the Cuckoo's Nest,8.7,4
31,The Silence of the Lambs,8.6,4
32,It's a Wonderful Life,8.6,4
33,City Lights,8.6,4
34,Sunset Blvd.,8.5,4
35,Rear Window,8.5,4
36,To Kill a Mockingbird,8.4,4
37,Lawrence of Arabia,8.4,4
38,A Clockwork Orange,8.4,4
39,Unforgiven,8.3,4
40,The Treasure of the Sierra Madre,8.3,4
41,Raging Bull,8.3,4
42,All About Eve,8.3,4
43,2001: A Space Odyssey,8.3,4
44,The Deer Hunter,8.2,4
45,The Bridge on the River Kwai,8.2,4
46,On the Waterfront,8.2,4
47,It Happened One Night,8.2,4
48,The Philadelphia Story,8.1,4
49,The Maltese Falcon,8.1,4
50,The Grapes of Wrath,8.1,4
51,The Best Years of Our Lives,8.1,4
52,Rocky,8.1,4
53,Network,8.1,4
54,King Kong,8,4
55,Jaws,8,4
56,High Noon,8,4
57,Duck Soup,8,4
58,Bringing Up Baby,8,4
59,The African Queen,7.9,4
60,Midnight Cowboy,7.9,4
61,Bonnie and Clyde,7.9,4
62,The French Connection,7.8,4
